Project,Category,type,wordcount,Path,File,topic,tutorial,pageNumber,language
Foundations,Docs-Tutorials,Tutorial Step - Let's Go On a Field Trip!,58,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-012-tutorial-step-lets-go-on-a-field-trip.json,defining-a-trading-idea-012-tutorial-step-lets-go-on-a-field-trip.json,none,Defining a Trading Idea,12,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Predictions and Testing,106,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-029-tutorial-step-predictions-and-testing.json,defining-a-trading-idea-029-tutorial-step-predictions-and-testing.json,none,Defining a Trading Idea,29,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Let's Mine Some Data..!,78,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-005-tutorial-step-lets-mine-some-data..json,defining-a-trading-idea-005-tutorial-step-lets-mine-some-data..json,none,Defining a Trading Idea,5,ES DE TR 
Foundations,Docs-Tutorials,Tutorial Step - The Testing Mechanism,109,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-011-tutorial-step-the-testing-mechanism.json,defining-a-trading-idea-011-tutorial-step-the-testing-mechanism.json,none,Defining a Trading Idea,11,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - The Prediction,104,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-010-tutorial-step-the-prediction.json,defining-a-trading-idea-010-tutorial-step-the-prediction.json,none,Defining a Trading Idea,10,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Breakdown of the BBs,107,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-017-tutorial-step-breakdown-of-the-bbs.json,defining-a-trading-idea-017-tutorial-step-breakdown-of-the-bbs.json,none,Defining a Trading Idea,17,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Can You Think of Any Ideas?,80,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-016-tutorial-step-can-you-think-of-any-ideas.json,defining-a-trading-idea-016-tutorial-step-can-you-think-of-any-ideas.json,none,Defining a Trading Idea,16,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Ready to Mine..?,96,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-004-tutorial-step-ready-to-mine..json,defining-a-trading-idea-004-tutorial-step-ready-to-mine..json,none,Defining a Trading Idea,4,ES DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Look to Your Left!,84,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-022-tutorial-step-look-to-your-left.json,defining-a-trading-idea-022-tutorial-step-look-to-your-left.json,none,Defining a Trading Idea,22,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - The Big Picture!,133,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-020-tutorial-step-the-big-picture.json,defining-a-trading-idea-020-tutorial-step-the-big-picture.json,none,Defining a Trading Idea,20,DE TR 
Foundations,Docs-Tutorials,Tutorial - Defining a Trading Idea,100,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-002-tutorial-defining-a-trading-idea.json,defining-a-trading-idea-002-tutorial-defining-a-trading-idea.json,none,Defining a Trading Idea,2,ES DE TR 
Foundations,Docs-Tutorials,Tutorial Step - We've got Two Hypotheses!,96,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-025-tutorial-step-weve-got-two-hypotheses.json,defining-a-trading-idea-025-tutorial-step-weve-got-two-hypotheses.json,none,Defining a Trading Idea,25,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - What Do We Make of This?,67,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-021-tutorial-step-what-do-we-make-of-this.json,defining-a-trading-idea-021-tutorial-step-what-do-we-make-of-this.json,none,Defining a Trading Idea,21,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Let's Zoom Out!,101,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-019-tutorial-step-lets-zoom-out.json,defining-a-trading-idea-019-tutorial-step-lets-zoom-out.json,none,Defining a Trading Idea,19,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Et Voilà..!,88,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-030-tutorial-step-et-voilà..json,defining-a-trading-idea-030-tutorial-step-et-voilà..json,none,Defining a Trading Idea,30,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - BB On the Charts!,122,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-014-tutorial-step-bb-on-the-charts.json,defining-a-trading-idea-014-tutorial-step-bb-on-the-charts.json,none,Defining a Trading Idea,14,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Bollinger Bands Rules,78,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-015-tutorial-step-bollinger-bands-rules.json,defining-a-trading-idea-015-tutorial-step-bollinger-bands-rules.json,none,Defining a Trading Idea,15,DE TR 
Foundations,Docs-Tutorials,Defining a Trading Idea Tutorial,63,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-001-defining-a-trading-idea-tutorial.json,defining-a-trading-idea-001-defining-a-trading-idea-tutorial.json,none,Defining a Trading Idea,1,ES DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Wouldn't It Be Nice?,95,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-023-tutorial-step-wouldnt-it-be-nice.json,defining-a-trading-idea-023-tutorial-step-wouldnt-it-be-nice.json,none,Defining a Trading Idea,23,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - The Appropriate Context,85,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-008-tutorial-step-the-appropriate-context.json,defining-a-trading-idea-008-tutorial-step-the-appropriate-context.json,none,Defining a Trading Idea,8,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - March 7th to March 12th,89,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-024-tutorial-step-march-7th-to-march-12th.json,defining-a-trading-idea-024-tutorial-step-march-7th-to-march-12th.json,none,Defining a Trading Idea,24,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - What Else is Going On?,91,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-018-tutorial-step-what-else-is-going-on.json,defining-a-trading-idea-018-tutorial-step-what-else-is-going-on.json,none,Defining a Trading Idea,18,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Ready For The Next One..?,62,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-031-tutorial-step-ready-for-the-next-one..json,defining-a-trading-idea-031-tutorial-step-ready-for-the-next-one..json,none,Defining a Trading Idea,31,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - The Entry Rules,100,Projects/Foundations/Schemas/Docs-Tutorials/D/Defining/Defining-a-Trading-Idea/defining-a-trading-idea-009-tutorial-step-the-entry-rules.json,defining-a-trading-idea-009-tutorial-step-the-entry-rules.json,none,Defining a Trading Idea,9,DE TR 
Foundations,Docs-Tutorials,Tutorial Step - Don’t Forget the Layers!,96,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-037-tutorial-step-don’t-forget-the-layers.json,setting-up-a-new-chart-037-tutorial-step-don’t-forget-the-layers.json,none,Setting Up a New Chart,37,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Why Is It Blank?,106,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-020-tutorial-step-why-is-it-blank.json,setting-up-a-new-chart-020-tutorial-step-why-is-it-blank.json,none,Setting Up a New Chart,20,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Empty Layer Manager,12,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-021-tutorial-step-empty-layer-manager.json,setting-up-a-new-chart-021-tutorial-step-empty-layer-manager.json,none,Setting Up a New Chart,21,RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Basic Building Blocks,70,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-005-tutorial-step-basic-building-blocks.json,setting-up-a-new-chart-005-tutorial-step-basic-building-blocks.json,none,Setting Up a New Chart,5,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - The Data You Want to See,112,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-026-tutorial-step-the-data-you-want-to-see.json,setting-up-a-new-chart-026-tutorial-step-the-data-you-want-to-see.json,none,Setting Up a New Chart,26,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Charts Without Tears,108,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-004-tutorial-step-charts-without-tears.json,setting-up-a-new-chart-004-tutorial-step-charts-without-tears.json,none,Setting Up a New Chart,4,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Connection One,92,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-033-tutorial-step-connection-one.json,setting-up-a-new-chart-033-tutorial-step-connection-one.json,none,Setting Up a New Chart,33,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Connection Two,69,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-036-tutorial-step-connection-two.json,setting-up-a-new-chart-036-tutorial-step-connection-two.json,none,Setting Up a New Chart,36,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Charting Workspace Market,118,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-008-tutorial-step-charting-workspace-market.json,setting-up-a-new-chart-008-tutorial-step-charting-workspace-market.json,none,Setting Up a New Chart,8,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Make the Connection,76,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-028-tutorial-step-make-the-connection.json,setting-up-a-new-chart-028-tutorial-step-make-the-connection.json,none,Setting Up a New Chart,28,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Link Chart to Trading System,132,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-032-tutorial-step-link-chart-to-trading-system.json,setting-up-a-new-chart-032-tutorial-step-link-chart-to-trading-system.json,none,Setting Up a New Chart,32,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Link Chart to Data Products,74,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-027-tutorial-step-link-chart-to-data-products.json,setting-up-a-new-chart-027-tutorial-step-link-chart-to-data-products.json,none,Setting Up a New Chart,27,ES RU DE 
Foundations,Docs-Tutorials,"Tutorial Step - Easy as 1, 2, 3",117,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-040-tutorial-step-easy-as-1-2-3.json,setting-up-a-new-chart-040-tutorial-step-easy-as-1-2-3.json,none,Setting Up a New Chart,40,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Before We Begin,95,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-003-tutorial-step-before-we-begin.json,setting-up-a-new-chart-003-tutorial-step-before-we-begin.json,none,Setting Up a New Chart,3,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Magical Machines,72,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-012-tutorial-step-magical-machines.json,setting-up-a-new-chart-012-tutorial-step-magical-machines.json,none,Setting Up a New Chart,12,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Add the Layers,64,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-029-tutorial-step-add-the-layers.json,setting-up-a-new-chart-029-tutorial-step-add-the-layers.json,none,Setting Up a New Chart,29,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Charting Workspace Setup,90,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-006-tutorial-step-charting-workspace-setup.json,setting-up-a-new-chart-006-tutorial-step-charting-workspace-setup.json,none,Setting Up a New Chart,6,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Your Data Treasure Trove,134,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-024-tutorial-step-your-data-treasure-trove.json,setting-up-a-new-chart-024-tutorial-step-your-data-treasure-trove.json,none,Setting Up a New Chart,24,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Not Seeing Anything?,66,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-039-tutorial-step-not-seeing-anything.json,setting-up-a-new-chart-039-tutorial-step-not-seeing-anything.json,none,Setting Up a New Chart,39,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - I See a Chart!,77,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-018-tutorial-step-i-see-a-chart.json,setting-up-a-new-chart-018-tutorial-step-i-see-a-chart.json,none,Setting Up a New Chart,18,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Another Timeline Chart,54,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-035-tutorial-step-another-timeline-chart.json,setting-up-a-new-chart-035-tutorial-step-another-timeline-chart.json,none,Setting Up a New Chart,35,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Back to Data Storage,88,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-034-tutorial-step-back-to-data-storage.json,setting-up-a-new-chart-034-tutorial-step-back-to-data-storage.json,none,Setting Up a New Chart,34,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Your First Chart,96,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-009-tutorial-step-your-first-chart.json,setting-up-a-new-chart-009-tutorial-step-your-first-chart.json,none,Setting Up a New Chart,9,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - It’s Alive!,89,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-031-tutorial-step-it’s-alive.json,setting-up-a-new-chart-031-tutorial-step-it’s-alive.json,none,Setting Up a New Chart,31,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Chart Spawning,75,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-017-tutorial-step-chart-spawning.json,setting-up-a-new-chart-017-tutorial-step-chart-spawning.json,none,Setting Up a New Chart,17,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Herding Layers,89,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-023-tutorial-step-herding-layers.json,setting-up-a-new-chart-023-tutorial-step-herding-layers.json,none,Setting Up a New Chart,23,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Check the Chart,50,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-038-tutorial-step-check-the-chart.json,setting-up-a-new-chart-038-tutorial-step-check-the-chart.json,none,Setting Up a New Chart,38,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Add a Timeline Chart,86,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-019-tutorial-step-add-a-timeline-chart.json,setting-up-a-new-chart-019-tutorial-step-add-a-timeline-chart.json,none,Setting Up a New Chart,19,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Adjust for Your Exchange,90,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-007-tutorial-step-adjust-for-your-exchange.json,setting-up-a-new-chart-007-tutorial-step-adjust-for-your-exchange.json,none,Setting Up a New Chart,7,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - The Three Scales,93,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-016-tutorial-step-the-three-scales.json,setting-up-a-new-chart-016-tutorial-step-the-three-scales.json,none,Setting Up a New Chart,16,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Welcome to the Otherside,121,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-002-tutorial-step-welcome-to-the-otherside.json,setting-up-a-new-chart-002-tutorial-step-welcome-to-the-otherside.json,none,Setting Up a New Chart,2,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Before I Go,73,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-041-tutorial-step-before-i-go.json,setting-up-a-new-chart-041-tutorial-step-before-i-go.json,none,Setting Up a New Chart,41,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Add a Time Machine,83,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-015-tutorial-step-add-a-time-machine.json,setting-up-a-new-chart-015-tutorial-step-add-a-time-machine.json,none,Setting Up a New Chart,15,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - The Chart of Many Talents,112,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-022-tutorial-step-the-chart-of-many-talents.json,setting-up-a-new-chart-022-tutorial-step-the-chart-of-many-talents.json,none,Setting Up a New Chart,22,ES DE 
Foundations,Docs-Tutorials,Tutorial Step - Dashing Dashboards,92,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-010-tutorial-step-dashing-dashboards.json,setting-up-a-new-chart-010-tutorial-step-dashing-dashboards.json,none,Setting Up a New Chart,10,ES DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Dashboards in the Future,78,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-011-tutorial-step-dashboards-in-the-future.json,setting-up-a-new-chart-011-tutorial-step-dashboards-in-the-future.json,none,Setting Up a New Chart,11,ES RU DE 
Foundations,Docs-Tutorials,Setting Up a New Chart Tutorial,37,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-001-setting-up-a-new-chart-tutorial.json,setting-up-a-new-chart-001-setting-up-a-new-chart-tutorial.json,none,Setting Up a New Chart,1,DE 
Foundations,Docs-Tutorials,Tutorial Step - Without Further Ado,93,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-014-tutorial-step-without-further-ado.json,setting-up-a-new-chart-014-tutorial-step-without-further-ado.json,none,Setting Up a New Chart,14,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Follow the Tree!,72,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-025-tutorial-step-follow-the-tree.json,setting-up-a-new-chart-025-tutorial-step-follow-the-tree.json,none,Setting Up a New Chart,25,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Verify the Layers,66,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-030-tutorial-step-verify-the-layers.json,setting-up-a-new-chart-030-tutorial-step-verify-the-layers.json,none,Setting Up a New Chart,30,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - Keep It in One Place,76,Projects/Foundations/Schemas/Docs-Tutorials/S/Setting/Setting-Up-a-New-Chart/setting-up-a-new-chart-013-tutorial-step-keep-it-in-one-place.json,setting-up-a-new-chart-013-tutorial-step-keep-it-in-one-place.json,none,Setting Up a New Chart,13,ES RU DE 
Foundations,Docs-Tutorials,Tutorial Step - The Beauty of the Triangle,91,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-018-tutorial-step-the-beauty-of-the-triangle.json,trading-bot-layers-018-tutorial-step-the-beauty-of-the-triangle.json,none,Trading Bot Layers,18,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Episode X,81,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-024-tutorial-step-episode-x.json,trading-bot-layers-024-tutorial-step-episode-x.json,none,Trading Bot Layers,24,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Et Voilà!,96,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-013-tutorial-step-et-voilà.json,trading-bot-layers-013-tutorial-step-et-voilà.json,none,Trading Bot Layers,13,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Understanding Objects Data,86,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-025-tutorial-step-understanding-objects-data.json,trading-bot-layers-025-tutorial-step-understanding-objects-data.json,none,Trading Bot Layers,25,DE RU 
Foundations,Docs-Tutorials,Tutorial Topic - Trading Engine Layers,106,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-009-tutorial-topic-trading-engine-layers.json,trading-bot-layers-009-tutorial-topic-trading-engine-layers.json,none,Trading Bot Layers,9,DE RU 
Foundations,Docs-Tutorials,"Tutorial Step - 1, 2, 3, Counting!",73,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-010-tutorial-step-1-2-3-counting.json,trading-bot-layers-010-tutorial-step-1-2-3-counting.json,none,Trading Bot Layers,10,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Making Sense of Objects,86,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-016-tutorial-step-making-sense-of-objects.json,trading-bot-layers-016-tutorial-step-making-sense-of-objects.json,none,Trading Bot Layers,16,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - How About the Rest?,77,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-012-tutorial-step-how-about-the-rest.json,trading-bot-layers-012-tutorial-step-how-about-the-rest.json,none,Trading Bot Layers,12,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Quick Refresher on Stages!,86,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-032-tutorial-step-quick-refresher-on-stages.json,trading-bot-layers-032-tutorial-step-quick-refresher-on-stages.json,none,Trading Bot Layers,32,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Why 3 Position Layers?,77,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-019-tutorial-step-why-3-position-layers.json,trading-bot-layers-019-tutorial-step-why-3-position-layers.json,none,Trading Bot Layers,19,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - What About the Position?,83,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-017-tutorial-step-what-about-the-position.json,trading-bot-layers-017-tutorial-step-what-about-the-position.json,none,Trading Bot Layers,17,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Trading Bot Layers Trading System Highlights,11,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-031-tutorial-step-trading-bot-layers-trading-system-highlights.json,trading-bot-layers-031-tutorial-step-trading-bot-layers-trading-system-highlights.json,none,Trading Bot Layers,31,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Are We Up to Date.....?,81,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-007-tutorial-step-are-we-up-to-date..json,trading-bot-layers-007-tutorial-step-are-we-up-to-date..json,none,Trading Bot Layers,7,DE 
Foundations,Docs-Tutorials,Tutorial Step - Let's Mine Some Data.....!,57,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-006-tutorial-step-lets-mine-some-data..json,trading-bot-layers-006-tutorial-step-lets-mine-some-data..json,none,Trading Bot Layers,6,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Ready to Mine.....?,86,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-005-tutorial-step-ready-to-mine..json,trading-bot-layers-005-tutorial-step-ready-to-mine..json,none,Trading Bot Layers,5,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Trading System Highlights!,82,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-030-tutorial-step-trading-system-highlights.json,trading-bot-layers-030-tutorial-step-trading-system-highlights.json,none,Trading Bot Layers,30,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Compartmentalize It!,111,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-014-tutorial-step-compartmentalize-it.json,trading-bot-layers-014-tutorial-step-compartmentalize-it.json,none,Trading Bot Layers,14,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Freeze! Don't Move!,129,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-004-tutorial-step-freeze-dont-move.json,trading-bot-layers-004-tutorial-step-freeze-dont-move.json,none,Trading Bot Layers,4,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Trading System Values!,68,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-033-tutorial-step-trading-system-values.json,trading-bot-layers-033-tutorial-step-trading-system-values.json,none,Trading Bot Layers,33,DE RU 
Foundations,Docs-Tutorials,Tutorial Step - Bring Me Back To Earth!,94,Projects/Foundations/Schemas/Docs-Tutorials/T/Trading/Trading-Bot-Layers/trading-bot-layers-027-tutorial-step-bring-me-back-to-earth.json,trading-bot-layers-027-tutorial-step-bring-me-back-to-earth.json,none,Trading Bot Layers,27,DE RU 
